Date,Open,High,Low,Close,Volume
2022-12-30,128.41,129.95,127.43,129.93,77034211
2022-12-29,127.99,130.48,127.73,129.61,75703711
2022-12-28,129.67,131.03,125.87,126.04,85438391
2022-12-27,131.38,131.41,128.72,130.03,69007828
2022-12-23,130.92,132.42,129.64,131.86,63814887
2022-12-22,134.35,134.56,130.3,132.23,77852109
2022-12-21,132.98,136.81,132.75,135.45,85927992
2022-12-20,131.39,133.25,129.89,132.3,77432812
2022-12-19,135.11,135.2,131.32,132.37,79592609
2022-12-16,136.69,137.65,133.73,134.51,160156891
2022-12-15,141.11,141.8,136.03,136.5,98931914
2022-12-14,145.35,146.66,141.16,143.21,82291188
2022-12-13,149.5,149.97,144.24,145.47,93886156
2022-12-12,142.7,144.5,141.06,144.49,70462648
2022-12-09,142.34,145.57,140.9,142.16,76097008
2022-12-08,142.36,143.52,141.1,142.65,62128340
2022-12-07,142.19,143.37,140.0,140.94,69721086
2022-12-06,147.08,147.3,141.92,142.91,64727191
2022-12-05,147.77,150.92,145.77,146.63,68826438
2022-12-02,145.96,148.0,145.65,147.81,65447449
2022-12-01,148.21,149.13,146.61,148.31,71250414
2022-11-30,141.4,148.72,140.55,148.03,111380898
2022-11-29,144.29,144.81,140.36,141.17,83763797
2022-11-28,145.14,146.64,143.38,144.22,69346523
2022-11-25,148.31,148.88,147.12,148.11,35195859
2022-11-23,149.45,151.83,149.34,151.07,58301398
2022-11-22,148.13,150.42,146.93,150.18,51804129
2022-11-21,150.16,150.37,147.72,148.01,58724070
2022-11-18,152.31,152.7,149.97,151.29,74829570
2022-11-17,146.43,151.48,146.15,150.72,80389398
2022-11-16,149.13,149.87,147.29,148.79,64218273
2022-11-15,152.22,153.59,148.56,150.04,89868328
2022-11-14,148.97,150.28,147.43,148.28,73374109
2022-11-11,145.82,150.01,144.37,149.7,93979672
2022-11-10,141.24,146.87,139.5,146.87,118854000
2022-11-09,138.5,138.55,134.59,134.87,74917789
2022-11-08,140.41,141.43,137.49,139.5,89908477
2022-11-07,137.11,139.15,135.67,138.92,83374633
2022-11-04,142.09,142.67,134.38,138.38,140814797
2022-11-03,142.06,142.8,138.75,138.88,97918523
2022-11-02,148.95,152.17,145.0,145.03,93604625
2022-11-01,155.08,155.45,149.13,150.65,80379352
2022-10-31,153.16,154.24,151.92,153.34,97943172
2022-10-28,148.2,157.5,147.82,155.74,164762406
2022-10-27,148.07,149.05,144.13,144.8,109180203
2022-10-26,150.96,151.99,148.04,149.35,88436172
2022-10-25,150.09,152.49,149.36,152.34,74732289
2022-10-24,147.19,150.23,146.0,149.45,75981922
2022-10-21,142.87,147.85,142.65,147.27,86548609
2022-10-20,143.02,145.89,142.65,143.39,64521992
2022-10-19,141.69,144.95,141.5,143.86,61758340
2022-10-18,145.49,146.7,140.61,143.75,99136609
2022-10-17,141.07,142.9,140.27,142.41,85250945
2022-10-14,144.31,144.52,138.19,138.38,88597969
2022-10-13,134.99,143.59,134.37,142.99,113224000
2022-10-12,139.13,140.36,138.16,138.34,70433742
2022-10-11,139.9,141.35,138.22,138.98,77033672
2022-10-10,140.42,141.89,138.57,140.42,74899000
2022-10-07,142.54,143.1,139.45,140.09,85925562
2022-10-06,145.81,147.54,145.22,145.43,68402172
2022-10-05,144.08,147.38,143.01,146.4,79470969
2022-10-04,145.03,146.22,144.26,146.1,87830062
2022-10-03,138.21,143.07,137.69,142.45,114311695
